"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","SHPRICE","TOT","IDX2015","Q","2018-Q3",103.8787,
"ITA","SHPRICE","TOT","IDX2015","Q","2018-Q4",93.15824,
"ITA","SHPRICE","TOT","IDX2015","Q","2019-Q1",97.94986,
"ITA","SHPRICE","TOT","IDX2015","Q","2019-Q2",102.8069,
"ITA","SHPRICE","TOT","IDX2015","Q","2019-Q3",104.3782,
"ITA","SHPRICE","TOT","IDX2015","Q","2019-Q4",110.8286,
"ITA","SHPRICE","TOT","IDX2015","Q","2020-Q1",105.2635,
"ITA","SHPRICE","TOT","IDX2015","Q","2020-Q2",88.31362,
"ITA","SHPRICE","TOT","IDX2015","Q","2020-Q3",95.97511,
"ITA","SHPRICE","TOT","IDX2015","Q","2020-Q4",100.2279,
"ITA","SHPRICE","TOT","IDX2015","Q","2021-Q1",111.5047,
"ITA","SHPRICE","TOT","IDX2015","Q","2021-Q2",121.127,
"ITA","SHPRICE","TOT","IDX2015","Q","2021-Q3",123.2369,
"ITA","SHPRICE","TOT","IDX2015","Q","2021-Q4",131.1712,
"ITA","SHPRICE","TOT","IDX2015","Q","2022-Q1",129.4458,
"JPN","SHPRICE","TOT","IDX2015","Q","2016-Q4",92.24419,
"JPN","SHPRICE","TOT","IDX2015","Q","2017-Q1",99.36059,
"JPN","SHPRICE","TOT","IDX2015","Q","2017-Q2",100.2906,
"JPN","SHPRICE","TOT","IDX2015","Q","2017-Q3",104.694,
"JPN","SHPRICE","TOT","IDX2015","Q","2017-Q4",114.1673,
"JPN","SHPRICE","TOT","IDX2015","Q","2018-Q1",115.0672,
"JPN","SHPRICE","TOT","IDX2015","Q","2018-Q2",113.5536,
"JPN","SHPRICE","TOT","IDX2015","Q","2018-Q3",111.704,
"JPN","SHPRICE","TOT","IDX2015","Q","2018-Q4",105.5548,
"JPN","SHPRICE","TOT","IDX2015","Q","2019-Q1",101.5961,
"JPN","SHPRICE","TOT","IDX2015","Q","2019-Q2",101.3701,
"JPN","SHPRICE","TOT","IDX2015","Q","2019-Q3",100.0634,
"JPN","SHPRICE","TOT","IDX2015","Q","2019-Q4",108.2321,
"JPN","SHPRICE","TOT","IDX2015","Q","2020-Q1",102.573,
"JPN","SHPRICE","TOT","IDX2015","Q","2020-Q2",96.25739,
"JPN","SHPRICE","TOT","IDX2015","Q","2020-Q3",102.8953,
"JPN","SHPRICE","TOT","IDX2015","Q","2020-Q4",110.0334,
"JPN","SHPRICE","TOT","IDX2015","Q","2021-Q1",122.5287,
"JPN","SHPRICE","TOT","IDX2015","Q","2021-Q2",124.6278,
"JPN","SHPRICE","TOT","IDX2015","Q","2021-Q3",127.2967,
"JPN","SHPRICE","TOT","IDX2015","Q","2021-Q4",128.7796,
